Navn,Stasjon,Tid(norsk normaltid),Middeltemperatur (døgn),Maksimumstemperatur (døgn),Minimumstemperatur (døgn)
Oslo - Blindern,SN18700,01.07.2024,16.2,21.1,10
Tromsø,SN90450,01.07.2024,15.1,19.6,9.3
Oslo - Blindern,SN18700,02.07.2024,16.1,19.3,10.7
Tromsø,SN90450,02.07.2024,10.9,16.5,9.4
Oslo - Blindern,SN18700,03.07.2024,16.5,22.6,11.3
Tromsø,SN90450,03.07.2024,9.9,12.5,7.9
Oslo - Blindern,SN18700,04.07.2024,12.3,17.1,11.1
Tromsø,SN90450,04.07.2024,12.7,17.9,8.4
Oslo - Blindern,SN18700,05.07.2024,12.7,16.8,8.7
Tromsø,SN90450,05.07.2024,15.9,21.7,8.9
Oslo - Blindern,SN18700,06.07.2024,13.7,17.8,9.6
Tromsø,SN90450,06.07.2024,13.6,18,11.4
Oslo - Blindern,SN18700,07.07.2024,13.2,15.1,11.8
Tromsø,SN90450,07.07.2024,12.1,17.3,9.6
Oslo - Blindern,SN18700,08.07.2024,14.6,20,9.3
Tromsø,SN90450,08.07.2024,10.3,13.8,8.7
Oslo - Blindern,SN18700,09.07.2024,15.9,22,10
Tromsø,SN90450,09.07.2024,9.8,11.5,8.4
Oslo - Blindern,SN18700,10.07.2024,13.8,17.7,10.6
Tromsø,SN90450,10.07.2024,11.3,14.9,9.1
Oslo - Blindern,SN18700,11.07.2024,17.5,22.1,14.9
Tromsø,SN90450,11.07.2024,12.6,16.1,7.6
Oslo - Blindern,SN18700,12.07.2024,17.9,22.6,13.9
Tromsø,SN90450,12.07.2024,11.9,14.9,10.9
Oslo - Blindern,SN18700,13.07.2024,20.4,25.5,12.8
Tromsø,SN90450,13.07.2024,12.6,16.4,10.7
Oslo - Blindern,SN18700,14.07.2024,16.3,23.4,14.7
Tromsø,SN90450,14.07.2024,13.8,17.7,9
Oslo - Blindern,SN18700,15.07.2024,15.6,18.5,13.9
Tromsø,SN90450,15.07.2024,13.3,18.6,9.7
Oslo - Blindern,SN18700,16.07.2024,16.7,20.9,14
Tromsø,SN90450,16.07.2024,13.5,19.3,9.1
Oslo - Blindern,SN18700,17.07.2024,16.6,18.2,15.4
Tromsø,SN90450,17.07.2024,14,18.9,10.1
Oslo - Blindern,SN18700,18.07.2024,19.6,25.6,14.5
Tromsø,SN90450,18.07.2024,17.4,23.8,10.3
Oslo - Blindern,SN18700,19.07.2024,19.3,25.2,13
Tromsø,SN90450,19.07.2024,15.9,21.9,13.4
Oslo - Blindern,SN18700,20.07.2024,20,26.2,13.8
Tromsø,SN90450,20.07.2024,14.9,19.8,11.9
Oslo - Blindern,SN18700,21.07.2024,21.7,27,14.8
Tromsø,SN90450,21.07.2024,19,24.5,11.5
Oslo - Blindern,SN18700,22.07.2024,17.6,23.4,15.8
Tromsø,SN90450,22.07.2024,21.6,28.5,15.8
Oslo - Blindern,SN18700,23.07.2024,19.1,24,15.5
Tromsø,SN90450,23.07.2024,19.3,27.2,14.5
Oslo - Blindern,SN18700,24.07.2024,16,20.1,13.8
Tromsø,SN90450,24.07.2024,12.5,16.3,11.5
Oslo - Blindern,SN18700,25.07.2024,18,22.9,13.4
Tromsø,SN90450,25.07.2024,14.3,18.3,11
Oslo - Blindern,SN18700,26.07.2024,16,18.8,14.7
Tromsø,SN90450,26.07.2024,18.3,24.7,12.3
Oslo - Blindern,SN18700,27.07.2024,17.6,21.9,15.8
Tromsø,SN90450,27.07.2024,18.9,25.1,14.3
Oslo - Blindern,SN18700,28.07.2024,18,23.8,13
Tromsø,SN90450,28.07.2024,13.3,18.1,12.1
Oslo - Blindern,SN18700,29.07.2024,17.5,23.3,12.2
Tromsø,SN90450,29.07.2024,14.3,17.5,10.3
Oslo - Blindern,SN18700,30.07.2024,17.9,24.3,11.8
Tromsø,SN90450,30.07.2024,13.5,18.2,8.9
Oslo - Blindern,SN18700,31.07.2024,18.3,24.1,13
Tromsø,SN90450,31.07.2024,16.7,21.6,11.8
Oslo - Blindern,SN18700,01.08.2024,17.7,22.9,13.2
Tromsø,SN90450,01.08.2024,15,19.1,12.7
Oslo - Blindern,SN18700,02.08.2024,19,23.9,14.4
Tromsø,SN90450,02.08.2024,14.5,18.7,13
Oslo - Blindern,SN18700,03.08.2024,18.2,23.6,13
Tromsø,SN90450,03.08.2024,16.8,24.6,9.8
Oslo - Blindern,SN18700,04.08.2024,17.5,21.8,15.7
Tromsø,SN90450,04.08.2024,19.8,25.2,13.5
Oslo - Blindern,SN18700,05.08.2024,19.5,24.9,13.5
Tromsø,SN90450,05.08.2024,19.8,25.8,13.4
Oslo - Blindern,SN18700,06.08.2024,19.3,23.5,15.6
Tromsø,SN90450,06.08.2024,19.6,26.9,13.4
Oslo - Blindern,SN18700,07.08.2024,19.3,24.6,16.1
Tromsø,SN90450,07.08.2024,20.6,26.3,13.1
Oslo - Blindern,SN18700,08.08.2024,17.4,21.9,15
Tromsø,SN90450,08.08.2024,20.9,24.6,16.6
Oslo - Blindern,SN18700,09.08.2024,15.1,19,13.3
Tromsø,SN90450,09.08.2024,16.7,21.5,13.9
Oslo - Blindern,SN18700,10.08.2024,15.3,21.9,10
Tromsø,SN90450,10.08.2024,18.3,21.9,13.9
Oslo - Blindern,SN18700,11.08.2024,16.8,22.6,9.7
Tromsø,SN90450,11.08.2024,18.8,24.5,16.3
Oslo - Blindern,SN18700,12.08.2024,16,22.2,8
Tromsø,SN90450,12.08.2024,16.2,19.7,14.3
Oslo - Blindern,SN18700,13.08.2024,15.9,21.2,10.9
Tromsø,SN90450,13.08.2024,16.6,21.2,13.7
Oslo - Blindern,SN18700,14.08.2024,17.1,19.5,13.5
Tromsø,SN90450,14.08.2024,20,25.5,12.8
Oslo - Blindern,SN18700,15.08.2024,17.5,21.8,15.9
Tromsø,SN90450,15.08.2024,15.7,22.5,14.9
Oslo - Blindern,SN18700,16.08.2024,17,21.7,12.1
Tromsø,SN90450,16.08.2024,14.5,19.1,12.2
Oslo - Blindern,SN18700,17.08.2024,15.1,20.4,9.4
Tromsø,SN90450,17.08.2024,14.8,17.8,11.8
Oslo - Blindern,SN18700,18.08.2024,14.1,19.3,9.3
Tromsø,SN90450,18.08.2024,15.1,19.4,11.1
Oslo - Blindern,SN18700,19.08.2024,14.8,20.1,7.2
Tromsø,SN90450,19.08.2024,11.2,15.6,10.7
Oslo - Blindern,SN18700,20.08.2024,15.9,18.2,14.1
Tromsø,SN90450,20.08.2024,14.5,19.6,10.3
Oslo - Blindern,SN18700,21.08.2024,15.5,19.9,14.1
Tromsø,SN90450,21.08.2024,14.8,19.4,11.5
Oslo - Blindern,SN18700,22.08.2024,13.8,16.1,10.3
Tromsø,SN90450,22.08.2024,14.2,18.3,9.8
Oslo - Blindern,SN18700,23.08.2024,14.3,17.4,13.1
Tromsø,SN90450,23.08.2024,15.5,19.9,12.8
Oslo - Blindern,SN18700,24.08.2024,13,17,8.1
Tromsø,SN90450,24.08.2024,12.9,16.8,10.6
Oslo - Blindern,SN18700,25.08.2024,14.8,19.3,11.4
Tromsø,SN90450,25.08.2024,12.6,14.2,10.2
Oslo - Blindern,SN18700,26.08.2024,15.6,21.6,11.3
Tromsø,SN90450,26.08.2024,12.4,14.8,10.8
Oslo - Blindern,SN18700,27.08.2024,13.8,17.9,7.6
Tromsø,SN90450,27.08.2024,10.3,11.8,8.9
Oslo - Blindern,SN18700,28.08.2024,17.5,21.9,14.5
Tromsø,SN90450,28.08.2024,10.9,13.1,9.5
Oslo - Blindern,SN18700,29.08.2024,16.8,18.4,14.6
Tromsø,SN90450,29.08.2024,14.3,18.2,10.7
Oslo - Blindern,SN18700,30.08.2024,15.1,19.8,10.9
Tromsø,SN90450,30.08.2024,12.3,17.6,11
Oslo - Blindern,SN18700,31.08.2024,14.7,20.4,8.3
Tromsø,SN90450,31.08.2024,11.7,13.3,8.6
Oslo - Blindern,SN18700,01.09.2024,15.1,21.6,8.3
Tromsø,SN90450,01.09.2024,12.5,15,11.7
Oslo - Blindern,SN18700,02.09.2024,12.8,17.1,12.2
Tromsø,SN90450,02.09.2024,15.2,21.3,8.6
Oslo - Blindern,SN18700,03.09.2024,14.6,16.9,11.5
Tromsø,SN90450,03.09.2024,15.6,20.1,11.1
Oslo - Blindern,SN18700,04.09.2024,17,18.4,14.9
Tromsø,SN90450,04.09.2024,16.6,20.8,13.5
Oslo - Blindern,SN18700,05.09.2024,21.2,25.9,17.2
Tromsø,SN90450,05.09.2024,12.9,17.6,12
Oslo - Blindern,SN18700,06.09.2024,20.1,27.2,14.9
Tromsø,SN90450,06.09.2024,14.3,16.8,11.1
Oslo - Blindern,SN18700,07.09.2024,19.1,24.5,13.4
Tromsø,SN90450,07.09.2024,11.9,14.6,11
Oslo - Blindern,SN18700,08.09.2024,18.8,21.2,17.3
Tromsø,SN90450,08.09.2024,15.5,21.7,9.4
Oslo - Blindern,SN18700,09.09.2024,17.3,20.4,16.4
Tromsø,SN90450,09.09.2024,18,23.4,12.1
Oslo - Blindern,SN18700,10.09.2024,14.2,17.6,12.5
Tromsø,SN90450,10.09.2024,18.3,21.8,17.2
Oslo - Blindern,SN18700,11.09.2024,11.7,15.3,8.2
Tromsø,SN90450,11.09.2024,16.5,19.5,15.4
Oslo - Blindern,SN18700,12.09.2024,11.9,17.2,8.5
Tromsø,SN90450,12.09.2024,16,20.4,12.2
Oslo - Blindern,SN18700,13.09.2024,10.3,17.2,5.4
Tromsø,SN90450,13.09.2024,12.7,16.2,11.1
Oslo - Blindern,SN18700,14.09.2024,9.4,16.5,2.9
Tromsø,SN90450,14.09.2024,10.7,12.1,8.3
Oslo - Blindern,SN18700,15.09.2024,11.7,16.8,5.9
Tromsø,SN90450,15.09.2024,10.2,14.2,7.5
Oslo - Blindern,SN18700,16.09.2024,12.9,17.1,11.8
Tromsø,SN90450,16.09.2024,10.9,14.1,6.8
Oslo - Blindern,SN18700,17.09.2024,13.4,18,10.9
Tromsø,SN90450,17.09.2024,11.1,13,10.2
Oslo - Blindern,SN18700,18.09.2024,14.6,20.1,10.3
Tromsø,SN90450,18.09.2024,11.6,13.8,9.6
Oslo - Blindern,SN18700,19.09.2024,14.1,21.1,8.3
Tromsø,SN90450,19.09.2024,11.8,15.4,8.1
Oslo - Blindern,SN18700,20.09.2024,11.4,14.8,8.1
Tromsø,SN90450,20.09.2024,5.4,8.1,4.6
Oslo - Blindern,SN18700,21.09.2024,13.2,14.7,11.1
Tromsø,SN90450,21.09.2024,4.3,6.5,1.6
Oslo - Blindern,SN18700,22.09.2024,13.2,16.2,12.2
Tromsø,SN90450,22.09.2024,4,8.5,2.3
Oslo - Blindern,SN18700,23.09.2024,13.3,16.8,11.2
Tromsø,SN90450,23.09.2024,4.4,7,-0.2
Oslo - Blindern,SN18700,24.09.2024,13.8,15.6,12.5
Tromsø,SN90450,24.09.2024,5.5,6.6,4.5
Oslo - Blindern,SN18700,25.09.2024,12.3,15.7,11.7
Tromsø,SN90450,25.09.2024,7.4,10.5,5
Oslo - Blindern,SN18700,26.09.2024,8.8,13.2,4.2
Tromsø,SN90450,26.09.2024,5.6,8.5,4.1
Oslo - Blindern,SN18700,27.09.2024,8.3,12.5,6.1
Tromsø,SN90450,27.09.2024,4.4,8.5,1.7
Oslo - Blindern,SN18700,28.09.2024,7.6,13.3,4.2
Tromsø,SN90450,28.09.2024,2.8,7.8,0.1
Oslo - Blindern,SN18700,29.09.2024,5.9,13,0.1
Tromsø,SN90450,29.09.2024,2.3,6.9,-0.4
Oslo - Blindern,SN18700,30.09.2024,8.3,12.2,3.3
Tromsø,SN90450,30.09.2024,3.7,5.5,0.9
Oslo - Blindern,SN18700,01.10.2024,9.1,13.3,6.6
Tromsø,SN90450,01.10.2024,4.9,9,2.3
Oslo - Blindern,SN18700,02.10.2024,8.7,15.5,3.9
Tromsø,SN90450,02.10.2024,3.4,5.4,1.8
Oslo - Blindern,SN18700,03.10.2024,8.6,15.5,3.8
Tromsø,SN90450,03.10.2024,4.4,6.3,3.1
Oslo - Blindern,SN18700,04.10.2024,7.3,12.5,2.5
Tromsø,SN90450,04.10.2024,2.6,5.5,0.3
Oslo - Blindern,SN18700,05.10.2024,9.1,11.2,6.8
Tromsø,SN90450,05.10.2024,2.6,3.4,1.4
Oslo - Blindern,SN18700,06.10.2024,10.4,15.5,6.7
Tromsø,SN90450,06.10.2024,1.1,5.2,-0.9
Oslo - Blindern,SN18700,07.10.2024,9,11.4,6.5
Tromsø,SN90450,07.10.2024,0.6,3.8,-1.9
Oslo - Blindern,SN18700,08.10.2024,10.6,12,9
Tromsø,SN90450,08.10.2024,0.4,2.7,-3.6
Oslo - Blindern,SN18700,09.10.2024,11.7,13,10.7
Tromsø,SN90450,09.10.2024,5.8,9.1,1.1
Oslo - Blindern,SN18700,10.10.2024,9,13,4.9
Tromsø,SN90450,10.10.2024,5.1,8.5,3.7
Oslo - Blindern,SN18700,11.10.2024,5.3,10,1.2
Tromsø,SN90450,11.10.2024,2.9,5.8,1.6
Oslo - Blindern,SN18700,12.10.2024,4,6.8,-0.7
Tromsø,SN90450,12.10.2024,5.1,6,3.5
Oslo - Blindern,SN18700,13.10.2024,7.3,9.7,6.8
Tromsø,SN90450,13.10.2024,6.6,7.5,5
Oslo - Blindern,SN18700,14.10.2024,4.9,8.3,2.9
Tromsø,SN90450,14.10.2024,5.4,7.5,4.4
Oslo - Blindern,SN18700,15.10.2024,3.2,8.6,-1
Tromsø,SN90450,15.10.2024,3.4,4.5,2.4
Oslo - Blindern,SN18700,16.10.2024,6.7,9.6,1.6
Tromsø,SN90450,16.10.2024,5.4,7.9,2.6
Oslo - Blindern,SN18700,17.10.2024,8.3,8.8,7.1
Tromsø,SN90450,17.10.2024,9.6,11.8,7.8
Oslo - Blindern,SN18700,18.10.2024,9.9,10.8,8.7
Tromsø,SN90450,18.10.2024,11.1,13.8,9.6
Oslo - Blindern,SN18700,19.10.2024,11.4,12.7,10.2
Tromsø,SN90450,19.10.2024,9.5,12.6,7
Oslo - Blindern,SN18700,20.10.2024,11.5,12.2,10.5
Tromsø,SN90450,20.10.2024,6.7,9.9,4
Oslo - Blindern,SN18700,21.10.2024,12.2,15.2,11.1
Tromsø,SN90450,21.10.2024,7.7,10.4,4.3
Oslo - Blindern,SN18700,22.10.2024,8.9,13.3,4.4
Tromsø,SN90450,22.10.2024,7.9,8.8,6.5
Oslo - Blindern,SN18700,23.10.2024,8.1,11.2,4.7
Tromsø,SN90450,23.10.2024,5.5,7.8,4.2
Oslo - Blindern,SN18700,24.10.2024,10.1,14.2,7.6
Tromsø,SN90450,24.10.2024,6.2,6.8,3.9
Oslo - Blindern,SN18700,25.10.2024,8.4,10.9,6.1
Tromsø,SN90450,25.10.2024,7.8,11.7,4.2
Oslo - Blindern,SN18700,26.10.2024,7.8,8.7,5.9
Tromsø,SN90450,26.10.2024,4.8,6.6,2.8
Oslo - Blindern,SN18700,27.10.2024,8.6,11.8,5.2
Tromsø,SN90450,27.10.2024,6.4,8.3,5.4
Oslo - Blindern,SN18700,28.10.2024,6.6,11.7,3.7
Tromsø,SN90450,28.10.2024,2.9,6.7,0.4
Oslo - Blindern,SN18700,29.10.2024,4.8,6.5,3.8
Tromsø,SN90450,29.10.2024,1.2,2.9,-0.5
Oslo - Blindern,SN18700,30.10.2024,6.5,13,2
Tromsø,SN90450,30.10.2024,0.1,3.1,-1.8
Oslo - Blindern,SN18700,31.10.2024,9.2,13.1,4.7
Tromsø,SN90450,31.10.2024,-1.3,0.8,-2.6
Oslo - Blindern,SN18700,01.11.2024,7.8,14.6,3.9
Tromsø,SN90450,01.11.2024,-1.9,0.2,-3.7
Oslo - Blindern,SN18700,02.11.2024,2.5,6.1,-1.5
Tromsø,SN90450,02.11.2024,-0.8,-0.1,-2
Oslo - Blindern,SN18700,03.11.2024,8.2,14.9,2.4
Tromsø,SN90450,03.11.2024,-0.4,0.3,-1.8
Oslo - Blindern,SN18700,04.11.2024,6.3,11.3,3.2
Tromsø,SN90450,04.11.2024,1.3,2.7,-0.5
Oslo - Blindern,SN18700,05.11.2024,4.3,7.4,3.6
Tromsø,SN90450,05.11.2024,3.7,5.9,1.4
Oslo - Blindern,SN18700,06.11.2024,3.1,4.3,2
Tromsø,SN90450,06.11.2024,4.8,6,3.7
Oslo - Blindern,SN18700,07.11.2024,2.2,6.6,-0.2
Tromsø,SN90450,07.11.2024,7.5,8.7,5.6
Oslo - Blindern,SN18700,08.11.2024,4.7,6.6,0
Tromsø,SN90450,08.11.2024,9.1,11.4,7.2
Oslo - Blindern,SN18700,09.11.2024,5.4,6.7,4.9
Tromsø,SN90450,09.11.2024,3.2,7.7,1.5
Oslo - Blindern,SN18700,10.11.2024,2.8,4.9,2.2
Tromsø,SN90450,10.11.2024,4.7,5.9,3.5
Oslo - Blindern,SN18700,11.11.2024,2.4,3.4,2.3
Tromsø,SN90450,11.11.2024,3.3,5.7,1.4
Oslo - Blindern,SN18700,12.11.2024,2.3,4,-0.6
Tromsø,SN90450,12.11.2024,6,6.6,3.2
Oslo - Blindern,SN18700,13.11.2024,2.5,3.4,2
Tromsø,SN90450,13.11.2024,5.4,11.2,2.5
Oslo - Blindern,SN18700,14.11.2024,0.8,3.1,-0.5
Tromsø,SN90450,14.11.2024,2.2,2.8,0.4
Oslo - Blindern,SN18700,15.11.2024,4.6,9,0
Tromsø,SN90450,15.11.2024,0.8,3.4,0.2
Oslo - Blindern,SN18700,16.11.2024,6.6,9.5,3.9
Tromsø,SN90450,16.11.2024,2,2.5,0.4
Oslo - Blindern,SN18700,17.11.2024,3.3,8.1,-0.7
Tromsø,SN90450,17.11.2024,2.9,4.3,2
Oslo - Blindern,SN18700,18.11.2024,-0.1,5.1,-2.6
Tromsø,SN90450,18.11.2024,0.1,2.8,-1.3
Oslo - Blindern,SN18700,19.11.2024,0.4,1.4,-1.5
Tromsø,SN90450,19.11.2024,-0.6,0.7,-1.7
Oslo - Blindern,SN18700,20.11.2024,-1,0.8,-2.8
Tromsø,SN90450,20.11.2024,-4.7,0.1,-7.3
Oslo - Blindern,SN18700,21.11.2024,-3.6,-0.8,-4.9
Tromsø,SN90450,21.11.2024,-5.8,-4.1,-8.5
Oslo - Blindern,SN18700,22.11.2024,-6.3,-1.9,-9.2
Tromsø,SN90450,22.11.2024,-0.8,0.2,-4.2
Oslo - Blindern,SN18700,23.11.2024,-3.9,2.8,-8.4
Tromsø,SN90450,23.11.2024,0.8,2.1,-1.3
Oslo - Blindern,SN18700,24.11.2024,0.9,3.6,-4.5
Tromsø,SN90450,24.11.2024,0,2.7,-0.3
Oslo - Blindern,SN18700,25.11.2024,6.2,8.5,2.8
Tromsø,SN90450,25.11.2024,-1.1,0.1,-2.7
Oslo - Blindern,SN18700,26.11.2024,6.3,8.4,3.1
Tromsø,SN90450,26.11.2024,-2,-0.9,-3.2
Oslo - Blindern,SN18700,27.11.2024,2.8,4.9,1.1
Tromsø,SN90450,27.11.2024,1,1.7,-2
Oslo - Blindern,SN18700,28.11.2024,-1.5,1.8,-3.7
Tromsø,SN90450,28.11.2024,3.2,4.6,1.1
Oslo - Blindern,SN18700,29.11.2024,-1.7,0.8,-6.4
Tromsø,SN90450,29.11.2024,-1.4,4.4,-2.8
Oslo - Blindern,SN18700,30.11.2024,6.1,7.7,0.8
Tromsø,SN90450,30.11.2024,-3,-1.6,-4.7
Oslo - Blindern,SN18700,01.12.2024,8,9.1,6.9
Tromsø,SN90450,01.12.2024,-3.6,-2.7,-4.8
Oslo - Blindern,SN18700,02.12.2024,6,8.7,4.1
Tromsø,SN90450,02.12.2024,-3,-1.9,-4
Oslo - Blindern,SN18700,03.12.2024,-1.7,4.1,-4.2
Tromsø,SN90450,03.12.2024,-3.1,-2.4,-4.1
Oslo - Blindern,SN18700,04.12.2024,-4.6,-3.1,-6.6
Tromsø,SN90450,04.12.2024,-1.3,-0.4,-3.4
Oslo - Blindern,SN18700,05.12.2024,-0.3,0.7,-4.3
Tromsø,SN90450,05.12.2024,-1.1,1.1,-2.4
Oslo - Blindern,SN18700,06.12.2024,1.4,2,0.5
Tromsø,SN90450,06.12.2024,-0.1,1.8,-2.7
Oslo - Blindern,SN18700,07.12.2024,1.7,2.3,1
Tromsø,SN90450,07.12.2024,2.7,3.9,0.7
Oslo - Blindern,SN18700,08.12.2024,1.1,2,-1.3
Tromsø,SN90450,08.12.2024,1.9,4.1,0.1
Oslo - Blindern,SN18700,09.12.2024,-1.8,2.5,-4.1
Tromsø,SN90450,09.12.2024,2.6,3.9,0.4
Oslo - Blindern,SN18700,10.12.2024,-5.4,-4,-6.6
Tromsø,SN90450,10.12.2024,2.3,5.3,-0.2
Oslo - Blindern,SN18700,11.12.2024,-3.7,-1.4,-6.7
Tromsø,SN90450,11.12.2024,-2.1,-0.2,-3.8
Oslo - Blindern,SN18700,12.12.2024,-3.9,-1.3,-6.1
Tromsø,SN90450,12.12.2024,-4,-2.6,-4.8
Oslo - Blindern,SN18700,13.12.2024,-1,0.2,-5.3
Tromsø,SN90450,13.12.2024,-6.6,-3.7,-8.6
Oslo - Blindern,SN18700,14.12.2024,1.9,4,-0.6
Tromsø,SN90450,14.12.2024,-5.3,-4.1,-8.3
Oslo - Blindern,SN18700,15.12.2024,-0.1,3.3,-3.6
Tromsø,SN90450,15.12.2024,-4.7,-4.1,-5
Oslo - Blindern,SN18700,16.12.2024,4.2,8.4,1.3
Tromsø,SN90450,16.12.2024,-5.7,-4.2,-6.6
Oslo - Blindern,SN18700,17.12.2024,1.3,4.7,-1.3
Tromsø,SN90450,17.12.2024,-5.3,-3.5,-6.1
Oslo - Blindern,SN18700,18.12.2024,5.2,7.6,-0.8
Tromsø,SN90450,18.12.2024,-8.2,-5.5,-10.1
Oslo - Blindern,SN18700,19.12.2024,3.4,7.7,1.5
Tromsø,SN90450,19.12.2024,-6.2,-4.3,-10
Oslo - Blindern,SN18700,20.12.2024,1.2,4.1,-1.8
Tromsø,SN90450,20.12.2024,-4.8,-3.2,-6
Oslo - Blindern,SN18700,21.12.2024,0.4,3.6,-2
Tromsø,SN90450,21.12.2024,-4,-2.7,-6
Oslo - Blindern,SN18700,22.12.2024,2.3,4.5,1.4
Tromsø,SN90450,22.12.2024,-3.6,-1.5,-5.7
Oslo - Blindern,SN18700,23.12.2024,1.2,3.9,0.2
Tromsø,SN90450,23.12.2024,-4,0.4,-6.8
Oslo - Blindern,SN18700,24.12.2024,0.4,2.6,-3.9
Tromsø,SN90450,24.12.2024,-2,-1.1,-6.9
Oslo - Blindern,SN18700,25.12.2024,4.7,5.6,2.6
Tromsø,SN90450,25.12.2024,2.7,5.2,-1.7
Oslo - Blindern,SN18700,26.12.2024,4.7,5.5,3.9
Tromsø,SN90450,26.12.2024,1.9,4.6,0.3
Oslo - Blindern,SN18700,27.12.2024,2.5,5.2,1.7
Tromsø,SN90450,27.12.2024,1,3.3,-0.2
Oslo - Blindern,SN18700,28.12.2024,2.1,3.2,1.5
Tromsø,SN90450,28.12.2024,2.4,4.7,0.3
Oslo - Blindern,SN18700,29.12.2024,3.6,4.6,1.7
Tromsø,SN90450,29.12.2024,1.7,3.7,-0.2
Oslo - Blindern,SN18700,30.12.2024,0.3,5.5,-1.6
Tromsø,SN90450,30.12.2024,0.2,1.4,-0.9
Oslo - Blindern,SN18700,31.12.2024,-2.4,-0.2,-3.8
Tromsø,SN90450,31.12.2024,-1.3,0.5,-2.2